dataset,model,beta,k,actions,data_pop_corr,base_pop_corr,max_pop_corr,base_exp_corr,max_exp_corr
ml-1m,libfm,4.0,20,random_history,0.34628012637495525,0.8441489389467857,0.5265742694886415,0.43972146535041146,0.46785955852425115
ml-1m,libfm,10.0,5,random_history,0.34628012637495525,0.7849797637430793,0.7158968172686427,0.14346996592280004,0.41524689475459703
ml-1m,libfm,4.0,5,random_history,0.34628012637495525,0.8441934827941472,0.7104372818514285,0.43987873582162573,0.48820168665578295
ml-1m,libfm,10.0,20,random_history,0.34628012637495525,0.7851483571258869,0.573892365222421,0.14346996592280004,0.5324403292663942
ml-1m,libfm,1.0,20,random_future,0.34628012637495525,0.9037003222959942,0.2546034346266117,0.3479278303820983,0.36935401397474577
ml-1m,libfm,2.0,5,random_future,0.34628012637495525,0.8779721465648138,0.6761601775047055,0.4441109720343412,0.4930912553701812
ml-1m,libfm,2.0,10,random_future,0.34628012637495525,0.8711999733713343,0.5675096324758648,0.4387499014718521,0.4685076919595797
ml-1m,libfm,0.5,10,random_future,0.34628012637495525,0.9184103116686214,0.49105970484792394,0.18334228862512988,0.32214907277807536
ml-1m,libfm,0.5,20,random_future,0.34628012637495525,0.9155610786660883,0.1059250830109367,0.2204227349830918,0.22363832047884682
ml-1m,libfm,2.0,20,random_future,0.34628012637495525,0.8724234850239445,0.40907292514924504,0.46970611910949484,0.5019384627261244
ml-1m,libfm,0.1,10,random_future,0.34628012637495525,0.8856394492322761,0.45463968737826227,0.022542396088069808,0.2937626295650295
ml-1m,libfm,0.5,5,random_future,0.34628012637495525,0.9150907600523842,0.6957424559931088,0.0968429452418044,0.262870449978713
ml-1m,libfm,0.1,5,random_future,0.34628012637495525,0.8846413158392298,0.6984555123030352,-0.02828558474726335,0.21125869903863131
ml-1m,libfm,0.1,20,random_future,0.34628012637495525,0.8799480339931851,-0.006886114858895484,0.09151248838383541,0.2193421799122989
ml-1m,libfm,1.0,10,random_future,0.34628012637495525,0.9034311318712183,0.5156146884301468,0.28349256617734137,0.38150319672766886
ml-1m,libfm,1.0,5,random_future,0.34628012637495525,0.9026326482141404,0.6741862802470658,0.25586358028978645,0.3495254795042582
ml-1m,libfm,10.0,10,random_future,0.34628012637495525,0.7802062026793443,0.6221856017062712,0.1123982678446825,0.5281083771928914
ml-1m,libfm,4.0,10,random_future,0.34628012637495525,0.8395913259656209,0.6085051772923987,0.4742618114762923,0.5175392300388423
ml-1m,libfm,4.0,20,random_future,0.34628012637495525,0.832546540050577,0.5013906735709567,0.47691049646768224,0.5453907065700354
ml-1m,libfm,10.0,5,random_future,0.34628012637495525,0.7764155010406388,0.6952753647024094,0.10205588988582352,0.4536049551362224
ml-1m,libfm,4.0,5,random_future,0.34628012637495525,0.8379083482183038,0.6921800272791621,0.4393696451919709,0.525352964774324
ml-1m,libfm,10.0,20,random_future,0.34628012637495525,0.7725060938456345,0.5362328356367099,0.15280917144340303,0.5720917484836006
ml-1m,knn,1.0,5,next_k,0.34628012637495525,0.9740606206534151,0.9732138638922523,0.18218858888986736,0.09914867583476279
ml-1m,knn,1.0,20,next_k,0.34628012637495525,0.9522139172306997,0.9454173422548189,0.250029312656157,-0.338198386103963
